LastName	FirstName	Status	YOE	Number	Category	DateCreated	WeeksPassed	CumulativeTime
Amerson	Parry	closed	3.5673272045026847	2	4	2020-03-19T00:00:00Z	1	0.0
Cabral	Rashee	processing	3.320134213244841	3	2	2020-03-19T00:05:16Z	1	40000.0
Seeger	Shareece	negotiation	4.951069572121009	4	3	2020-03-19T00:10:33Z	1	80000.0
Browning	Banessa	closed	3.1695775479727324	2	5	2020-03-19T00:15:50Z	1	120000.0
Montiel	Chereese	new	6.783207799481689	2	4	2020-03-19T00:21:07Z	1	160000.0
Mckey	Teagen	processing	6.83076807387207	4	3	2020-03-19T00:26:24Z	1	200000.0
Marple	Lace	negotiation	7.598272344220366	1	2	2020-03-19T00:31:41Z	1	240000.0
Jules	China	closed	6.9894114843015105	1	4	2020-03-19T00:36:58Z	1	280000.0
Eslinger	Howell	closed	4.079799602046135	1	3	2020-03-19T00:42:15Z	1	320000.0
May	Maurica	new	7.708510320269612	3	2	2020-03-19T00:47:32Z	1	360000.0
Woodhouse	Destanie	new	6.02814671057765	1	5	2020-03-19T00:52:49Z	1	400000.0
Rezendes	Kay	new	4.510263593109723	3	3	2020-03-19T00:58:05Z	1	440000.0
Mccants	Kevia	negotiation	4.691224530010961	1	2	2020-03-19T01:03:22Z	1	480000.0
Porath	Lysette	closed	7.704022990371049	4	5	2020-03-19T01:08:39Z	1	520000.0
Cisco	Meia	new	8.535698185728776	1	2	2020-03-19T01:13:56Z	1	560000.0
Langevin	Ashlei	new	5.1775298461598505	2	4	2020-03-19T01:19:13Z	1	600000.0
Matsuda	Aimie	processing	4.784496938326741	1	3	2020-03-19T01:24:30Z	1	640000.0
Tennyson	Ayinde	processing	8.387999466526079	2	4	2020-03-19T01:29:47Z	1	680000.0
Castilleja	Tiwanna	closed	4.091755224280146	4	0	2020-03-19T01:35:04Z	1	720000.0
Sauls	Johnaton	negotiation	5.229559742582356	2	3	2020-03-19T01:40:21Z	1	760000.0
Causby	Kelci	negotiation	6.003324484307607	2	2	2020-03-19T01:45:38Z	1	800000.0
Pritchett	Sandeep	closed	5.671595015515713	1	4	2020-03-19T01:50:55Z	1	840000.0
Komar	Farid	new	4.69639006587792	3	4	2020-03-19T01:56:11Z	1	880000.0
Harp	Marcellus	processing	7.0677348739919	1	2	2020-03-19T02:01:28Z	1	920000.0
Stutler	Hollie	negotiation	4.848991253022971	2	5	2020-03-19T02:06:45Z	1	960000.0
Ludwig	Dawn	new	5.390133556773307	1	5	2020-03-19T02:12:02Z	1	1000000.0
Pelkey	Kumar	new	8.719859496983874	3	6	2020-03-19T02:17:19Z	1	1040000.0
Elwell	Adolfo	new	3.138743800169133	2	2	2020-03-19T02:22:36Z	1	1080000.0
Sachs	Arlen	new	3.697398838906418	1	2	2020-03-19T02:27:53Z	1	1120000.0
Klapper	Dwana	processing	3.62755390517214	2	4	2020-03-19T02:33:10Z	1	1160000.0
Dickenson	Bobbijo	processing	3.746632646206432	3	5	2020-03-19T02:38:27Z	2	1200000.0
Pedro	Kiel	new	5.210492845367842	2	3	2020-03-19T02:43:44Z	2	1240000.0
Smart	Ishia	new	3.7631653065401576	3	1	2020-03-19T02:49:00Z	2	1280000.0
Radke	Bj	negotiation	4.49661874348868	2	1	2020-03-19T02:54:17Z	2	1320000.0
Mcgarvey	Jonquil	negotiation	7.656362198384455	1	2	2020-03-19T02:59:34Z	2	1360000.0
Fasching	Jerae	new	7.846850392070165	4	2	2020-03-19T03:04:51Z	2	1400000.0
Chancey	Natahsa	negotiation	6.904599712312764	1	3	2020-03-19T03:10:08Z	2	1440000.0
Riveria	Lorelei	negotiation	8.361890658964029	3	4	2020-03-19T03:15:25Z	2	1480000.0
Nocera	Darchelle	new	6.383113541103825	2	2	2020-03-19T03:20:42Z	2	1520000.0
Pan	Ante	new	6.7257835047904875	1	4	2020-03-19T03:25:59Z	2	1560000.0
Sisneros	Maceo	negotiation	7.64091989199335	3	1	2020-03-19T03:31:16Z	2	1600000.0
Montano	Diesha	new	8.35715706762709	3	1	2020-03-19T03:36:33Z	2	1640000.0
Mather	Kristeen	new	5.749445833493199	1	3	2020-03-19T03:41:50Z	2	1680000.0
Cordeiro	Chai	processing	7.577559834135638	2	4	2020-03-19T03:47:06Z	2	1720000.0
Bowens	Stepheny	processing	6.551883056947171	1	1	2020-03-19T03:52:23Z	2	1760000.0
Linke	Sahra	new	5.5400976289553325	2	2	2020-03-19T03:57:40Z	2	1800000.0
Martinelli	Telena	processing	6.96153520631093	2	2	2020-03-19T04:02:57Z	2	1840000.0
Gunnell	Rashaun	closed	7.728727512367696	2	3	2020-03-19T04:08:14Z	2	1880000.0
Leal	Yaniv	closed	6.3973950343228125	1	4	2020-03-19T04:13:31Z	2	1920000.0
Doucette	Keystle	new	6.122975826991317	1	1	2020-03-19T04:18:48Z	2	1960000.0
Patel	Larenda	new	3.2054851082853606	3	1	2020-03-19T04:24:05Z	2	2000000.0
Barns	Suliman	negotiation	4.1420962200304	2	1	2020-03-19T04:29:22Z	2	2040000.0
Meagher	Marie	new	3.276034356739563	1	3	2020-03-19T04:34:39Z	2	2080000.0
Dudash	Gayla	processing	4.984336978334411	1	4	2020-03-19T04:39:55Z	2	2120000.0
Wilson	Brookelyn	processing	3.496210550322515	1	4	2020-03-19T04:45:12Z	2	2160000.0
Burcham	Jasn	new	4.463841593229686	1	3	2020-03-19T04:50:29Z	2	2200000.0
Specht	Ronan	processing	8.485883310237128	2	4	2020-03-19T04:55:46Z	2	2240000.0
Ard	Errika	new	5.614564889701128	3	2	2020-03-19T05:01:03Z	2	2280000.0
Cipriano	Courtnay	new	5.7190112761566745	1	4	2020-03-19T05:06:20Z	2	2320000.0
Funk	Ceilia	processing	5.20864279240537	2	1	2020-03-19T05:11:37Z	3	2360000.0
Kushner	Yeng	new	8.406846698895153	4	5	2020-03-19T05:16:54Z	3	2400000.0
Kerley	Lindie	new	5.154934331193247	1	4	2020-03-19T05:22:11Z	3	2440000.0
Hillier	Kerri	new	5.221253282411517	2	2	2020-03-19T05:27:28Z	3	2480000.0
Marquis	Shakea	closed	5.151527700432886	3	5	2020-03-19T05:32:45Z	3	2520000.0
Tinsley	Art	negotiation	8.726476722059818	3	2	2020-03-19T05:38:01Z	3	2560000.0
Fleet	Britany	new	4.580266843841706	1	1	2020-03-19T05:43:18Z	3	2600000.0
Goulet	Staceyann	new	3.9394183050593696	1	4	2020-03-19T05:48:35Z	3	2640000.0
Callanan	Enrrique	negotiation	8.161304332229822	4	3	2020-03-19T05:53:52Z	3	2680000.0
Tristan	Arnesha	negotiation	5.921430202249558	1	3	2020-03-19T05:59:09Z	3	2720000.0
Stoffel	Marco	processing	5.6190139529763234	4	4	2020-03-19T06:04:26Z	3	2760000.0
Duley	Carline	negotiation	4.788734779562621	3	5	2020-03-19T06:09:43Z	3	2800000.0
Paige	Habib	new	4.558069550266394	1	2	2020-03-19T06:15:00Z	3	2840000.0
Mash	Vipul	new	3.4773034668029013	2	0	2020-03-19T06:20:17Z	3	2880000.0
Gallaher	Amandeep	processing	6.833081117206921	3	3	2020-03-19T06:25:34Z	3	2920000.0
Gilliland	Lary	negotiation	3.249311775052622	3	3	2020-03-19T06:30:51Z	3	2960000.0
Olsson	Anni	negotiation	6.62191925756393	1	4	2020-03-19T06:36:07Z	3	3000000.0
Vickers	Angelette	negotiation	4.792783007775735	2	3	2020-03-19T06:41:24Z	3	3040000.0
Lydon	Jarette	new	7.526112973846834	4	0	2020-03-19T06:46:41Z	3	3080000.0
Fraga	Roland	processing	3.9417540351899376	4	3	2020-03-19T06:51:58Z	3	3120000.0
Cossey	Priya	new	5.069414038295794	4	5	2020-03-19T06:57:15Z	3	3160000.0
Meads	Melissasue	negotiation	4.945351106386449	3	3	2020-03-19T07:02:32Z	3	3200000.0
Brasfield	Jontue	new	6.173354804534402	3	1	2020-03-19T07:07:49Z	3	3240000.0
Petrin	Hollylynn	closed	4.324824420649457	1	4	2020-03-19T07:13:06Z	3	3280000.0
Pontiff	Antwane	negotiation	8.111126589944917	1	4	2020-03-19T07:18:23Z	3	3320000.0
Dobson	Cristinia	negotiation	8.00688025380898	4	6	2020-03-19T07:23:40Z	3	3360000.0
German	Jenilee	new	6.163051579867857	1	3	2020-03-19T07:28:56Z	3	3400000.0
Hard	Genesis	new	7.4271658930786355	3	1	2020-03-19T07:34:13Z	3	3440000.0
Galyon	Doris	new	8.87673758534934	4	3	2020-03-19T07:39:30Z	3	3480000.0
Hiatt	Shemicka	closed	4.091466363578057	2	5	2020-03-19T07:44:47Z	4	3520000.0
Hoefer	Demorio	new	5.852490278439982	4	2	2020-03-19T07:50:04Z	4	3560000.0
Eberly	Shawta	negotiation	8.400628371908837	4	0	2020-03-19T07:55:21Z	4	3600000.0
Duggins	Shanessa	new	6.856362729401435	4	3	2020-03-19T08:00:38Z	4	3640000.0
Claudio	Torrie	new	8.795004807821762	4	3	2020-03-19T08:05:55Z	4	3680000.0
Heyman	Lucinda	negotiation	7.2808944638636515	2	4	2020-03-19T08:11:12Z	4	3720000.0
Gallego	Constantino	new	4.54604761905188	2	4	2020-03-19T08:16:29Z	4	3760000.0
Reiter	Stephani	new	3.0316103298494217	2	0	2020-03-19T08:21:46Z	4	3800000.0
Munoz	Dyana	negotiation	3.5517981211909855	4	2	2020-03-19T08:27:02Z	4	3840000.0
Rhode	Jermery	new	3.5699037387990993	2	2	2020-03-19T08:32:19Z	4	3880000.0
Miron	Shalonda	new	6.774612611583765	2	4	2020-03-19T08:37:36Z	4	3920000.0
Cruise	Angus	negotiation	6.288836235165398	2	3	2020-03-19T08:42:53Z	4	3960000.0
Gatling	Silvester	negotiation	6.862337400844607	4	1	2020-03-19T08:48:10Z	4	4000000.0
Bakos	Toye	processing	7.414706509008887	1	2	2020-03-19T08:53:27Z	4	4040000.0
Carrasco	Chastine	new	6.536325368994134	3	6	2020-03-19T08:58:44Z	4	4080000.0
Bohrer	Vahe	negotiation	6.0188939721193435	3	4	2020-03-19T09:04:01Z	4	4120000.0
Jaworski	Sharicka	negotiation	5.266457021576006	4	2	2020-03-19T09:09:18Z	4	4160000.0
Gregor	Rachana	new	3.045764637842133	3	4	2020-03-19T09:14:35Z	4	4200000.0
